node_id,X,Y,package_weight,e,l
0,0,50,0,0,200
1,0.534,49.46,1.23009927088541,3.94851762856655,4.94208233213737
2,1.396,49.006,2.16610080394841,3.11284288815448,4.00194824917379
3,1.266,48.532,2.51330360195504,2.20727361349942,2.98318281518685
4,2.047,47.581,1.78627498450963,1.83393560447548,2.56317755503491
5,2.25,47.547,1.92247476298065,1.45555391606105,2.13749815556868
6,3.119,46.631,2.56173622007517,2.14700736292162,2.91538328328683
7,5.046,48.122,2.47020578738745,0.297251285681377,0.83440769639155
8,5.028,48.358,0.378540517201454,3.069990215179,3.95373899207637
9,5.688,48.133,0.457694906633439,0.34825918424563,0.891791582276334
10,5.686,48.369,2.42858521967404,3.47039641754252,4.40419596973533
11,6.234,47.943,0.876270143085846,3.28676514745875,4.19761079089109
12,6.44,48.069,1.90520460563009,2.32826772500168,3.11930119062689
13,4.313,46.752,1.2882237063511,0.43767004691456,0.99237880277888
14,6.433,46.531,2.83690237099438,0.300408658017957,0.837959740270202
0,0,50,0,0,200
