node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,1236.0
1,45.0,68.0,10.0,912.0,967.0
4,42.0,68.0,10.0,727.0,782.0
9,38.0,70.0,10.0,534.0,605.0
13,22.0,75.0,30.0,30.0,92.0
16,20.0,85.0,40.0,475.0,528.0
18,15.0,75.0,20.0,179.0,254.0
27,23.0,52.0,10.0,261.0,316.0
33,8.0,40.0,40.0,87.0,158.0
49,28.0,35.0,10.0,1001.0,1066.0
50,26.0,32.0,10.0,815.0,880.0
56,40.0,5.0,30.0,385.0,436.0
58,38.0,5.0,30.0,471.0,534.0
61,50.0,30.0,10.0,531.0,610.0
63,50.0,40.0,50.0,171.0,218.0
64,48.0,30.0,10.0,632.0,693.0
73,92.0,30.0,10.0,478.0,551.0
78,88.0,35.0,20.0,109.0,170.0
84,70.0,58.0,20.0,458.0,523.0
98,58.0,75.0,20.0,30.0,84.0
99,55.0,80.0,10.0,743.0,820.0
0,40.0,50.0,0.0,0.0,1236.0
