node_id,X,Y,package_weight,e,l
0,35.0,35.0,0.0,0.0,230.0
4,55.0,20.0,19.0,149.0,159.0
7,20.0,50.0,5.0,81.0,91.0
14,15.0,10.0,20.0,32.0,42.0
15,30.0,5.0,8.0,61.0,71.0
21,45.0,20.0,11.0,62.0,72.0
32,35.0,69.0,23.0,141.0,151.0
33,53.0,52.0,11.0,37.0,47.0
46,2.0,48.0,1.0,117.0,127.0
48,13.0,52.0,36.0,165.0,175.0
49,6.0,68.0,30.0,108.0,118.0
60,17.0,34.0,3.0,162.0,172.0
61,12.0,24.0,13.0,76.0,86.0
68,56.0,39.0,36.0,142.0,152.0
70,37.0,56.0,5.0,182.0,192.0
74,46.0,13.0,8.0,149.0,159.0
80,56.0,37.0,6.0,182.0,192.0
84,11.0,31.0,7.0,101.0,111.0
89,26.0,35.0,15.0,176.0,186.0
95,25.0,24.0,20.0,39.0,49.0
100,18.0,18.0,17.0,185.0,195.0
0,35.0,35.0,0.0,0.0,230.0
