node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,3390.0
1,52.0,75.0,10.0,311.0,471.0
2,45.0,70.0,30.0,213.0,373.0
3,62.0,69.0,10.0,1167.0,1327.0
5,42.0,65.0,10.0,25.0,185.0
6,16.0,42.0,20.0,497.0,657.0
9,28.0,70.0,10.0,2601.0,2761.0
10,35.0,66.0,10.0,2791.0,2951.0
13,22.0,75.0,30.0,2405.0,2565.0
16,20.0,85.0,40.0,1934.0,2094.0
18,15.0,75.0,20.0,1742.0,1902.0
20,30.0,50.0,10.0,10.0,170.0
21,30.0,56.0,20.0,2983.0,3143.0
23,14.0,66.0,10.0,1643.0,1803.0
24,25.0,50.0,10.0,116.0,276.0
27,23.0,52.0,10.0,209.0,369.0
31,10.0,35.0,20.0,781.0,941.0
32,10.0,40.0,30.0,593.0,753.0
34,8.0,45.0,20.0,1346.0,1506.0
35,5.0,35.0,10.0,876.0,1036.0
36,5.0,45.0,10.0,1253.0,1413.0
37,2.0,40.0,20.0,971.0,1131.0
38,0.0,40.0,30.0,1063.0,1223.0
39,0.0,45.0,20.0,1158.0,1318.0
42,33.0,32.0,20.0,2666.0,2826.0
43,33.0,35.0,10.0,2573.0,2733.0
46,34.0,25.0,30.0,2009.0,2169.0
47,30.0,35.0,10.0,2480.0,2640.0
49,48.0,20.0,10.0,967.0,1127.0
50,26.0,32.0,10.0,2292.0,2452.0
54,42.0,10.0,40.0,1160.0,1320.0
55,42.0,15.0,10.0,1065.0,1225.0
57,38.0,15.0,40.0,1725.0,1885.0
59,38.0,10.0,10.0,1630.0,1790.0
60,35.0,5.0,20.0,1535.0,1695.0
62,50.0,35.0,20.0,120.0,280.0
63,50.0,40.0,50.0,25.0,185.0
67,47.0,40.0,10.0,12.0,172.0
72,53.0,30.0,10.0,308.0,468.0
74,53.0,35.0,50.0,213.0,373.0
76,90.0,35.0,10.0,2131.0,2291.0
78,78.0,40.0,20.0,2802.0,2962.0
79,87.0,30.0,10.0,2608.0,2768.0
80,85.0,25.0,10.0,2513.0,2673.0
82,75.0,55.0,20.0,1925.0,2085.0
84,70.0,58.0,20.0,1641.0,1801.0
89,56.0,64.0,10.0,1355.0,1515.0
92,67.0,85.0,20.0,694.0,854.0
93,42.0,58.0,40.0,8.0,168.0
99,55.0,80.0,10.0,407.0,567.0
100,55.0,85.0,20.0,502.0,662.0
0,40.0,50.0,0.0,0.0,3390.0
