node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,960.0
3,22.0,85.0,10.0,471.0,591.0
8,15.0,80.0,10.0,367.0,487.0
9,10.0,35.0,20.0,371.0,491.0
12,8.0,45.0,20.0,223.0,343.0
14,5.0,45.0,10.0,35.0,155.0
20,42.0,15.0,10.0,537.0,657.0
29,90.0,35.0,10.0,194.0,314.0
31,88.0,35.0,20.0,165.0,285.0
36,65.0,85.0,40.0,43.0,163.0
38,62.0,80.0,30.0,278.0,398.0
39,60.0,80.0,10.0,64.0,184.0
47,2.0,45.0,10.0,105.0,225.0
51,55.0,20.0,19.0,326.0,446.0
52,25.0,30.0,3.0,175.0,295.0
62,65.0,35.0,3.0,167.0,287.0
67,64.0,42.0,9.0,268.0,388.0
69,31.0,52.0,27.0,157.0,277.0
71,65.0,55.0,14.0,241.0,361.0
93,61.0,52.0,3.0,808.0,928.0
98,26.0,52.0,9.0,172.0,292.0
0,40.0,50.0,0.0,0.0,960.0
