node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,960.0
3,22.0,85.0,10.0,471.0,591.0
5,20.0,85.0,20.0,73.0,193.0
7,15.0,75.0,20.0,300.0,420.0
8,15.0,80.0,10.0,367.0,487.0
11,8.0,40.0,40.0,195.0,315.0
15,2.0,40.0,20.0,174.0,294.0
16,0.0,40.0,20.0,255.0,375.0
18,44.0,5.0,20.0,335.0,455.0
19,42.0,10.0,40.0,254.0,374.0
20,42.0,15.0,10.0,537.0,657.0
21,40.0,5.0,10.0,215.0,335.0
25,35.0,5.0,20.0,784.0,904.0
28,92.0,30.0,10.0,149.0,269.0
30,88.0,30.0,10.0,246.0,366.0
32,87.0,30.0,10.0,621.0,741.0
33,85.0,25.0,10.0,80.0,200.0
36,65.0,85.0,40.0,43.0,163.0
37,65.0,82.0,10.0,557.0,677.0
38,62.0,80.0,30.0,278.0,398.0
39,60.0,80.0,10.0,64.0,184.0
45,20.0,82.0,10.0,37.0,157.0
52,25.0,30.0,3.0,175.0,295.0
53,20.0,50.0,5.0,375.0,495.0
54,55.0,60.0,16.0,601.0,721.0
55,30.0,60.0,16.0,599.0,719.0
56,50.0,35.0,19.0,557.0,677.0
59,10.0,20.0,19.0,42.0,162.0
60,15.0,60.0,17.0,694.0,814.0
61,45.0,65.0,9.0,258.0,378.0
64,45.0,30.0,17.0,191.0,311.0
67,64.0,42.0,9.0,268.0,388.0
68,40.0,60.0,21.0,612.0,732.0
71,65.0,55.0,14.0,241.0,361.0
77,23.0,3.0,7.0,764.0,884.0
78,8.0,56.0,27.0,365.0,485.0
80,47.0,47.0,13.0,822.0,942.0
81,49.0,58.0,10.0,355.0,475.0
82,27.0,43.0,9.0,152.0,272.0
83,37.0,31.0,14.0,105.0,225.0
84,57.0,29.0,18.0,395.0,515.0
85,63.0,23.0,2.0,344.0,464.0
86,21.0,24.0,28.0,349.0,469.0
87,12.0,24.0,13.0,359.0,479.0
88,24.0,58.0,19.0,260.0,380.0
89,67.0,5.0,25.0,713.0,833.0
92,53.0,43.0,14.0,14.0,134.0
93,61.0,52.0,3.0,808.0,928.0
95,56.0,37.0,6.0,100.0,220.0
96,55.0,54.0,26.0,562.0,682.0
98,26.0,52.0,9.0,172.0,292.0
0,40.0,50.0,0.0,0.0,960.0
