node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,3390.0
3,62.0,69.0,10.0,1167.0,1327.0
8,34.0,60.0,20.0,2887.0,3047.0
9,28.0,70.0,10.0,2601.0,2761.0
12,25.0,85.0,20.0,2119.0,2279.0
14,22.0,85.0,10.0,2026.0,2186.0
20,30.0,50.0,10.0,10.0,170.0
29,20.0,50.0,10.0,398.0,558.0
31,10.0,35.0,20.0,781.0,941.0
36,5.0,45.0,10.0,1253.0,1413.0
38,0.0,40.0,30.0,1063.0,1223.0
39,0.0,45.0,20.0,1158.0,1318.0
47,30.0,35.0,10.0,2480.0,2640.0
51,25.0,30.0,10.0,2200.0,2360.0
52,25.0,35.0,10.0,2385.0,2545.0
62,50.0,35.0,20.0,120.0,280.0
67,47.0,40.0,10.0,12.0,172.0
69,45.0,35.0,10.0,680.0,840.0
71,95.0,35.0,20.0,2226.0,2386.0
93,42.0,58.0,40.0,8.0,168.0
98,58.0,75.0,20.0,978.0,1138.0
0,40.0,50.0,0.0,0.0,3390.0
