node_id,X,Y,package_weight,e,l
0,35.0,35.0,0.0,0.0,230.0
1,41.0,49.0,10.0,161.0,171.0
3,55.0,45.0,13.0,116.0,126.0
4,55.0,20.0,19.0,149.0,159.0
6,25.0,30.0,3.0,99.0,109.0
8,10.0,43.0,9.0,95.0,105.0
9,55.0,60.0,16.0,97.0,107.0
12,50.0,35.0,19.0,63.0,73.0
14,15.0,10.0,20.0,32.0,42.0
16,10.0,20.0,19.0,75.0,85.0
18,20.0,40.0,12.0,87.0,97.0
19,15.0,60.0,17.0,76.0,86.0
20,45.0,65.0,9.0,126.0,136.0
22,45.0,10.0,18.0,97.0,107.0
23,55.0,5.0,29.0,68.0,78.0
25,65.0,20.0,6.0,172.0,182.0
28,41.0,37.0,16.0,39.0,49.0
29,64.0,42.0,9.0,63.0,73.0
31,31.0,52.0,27.0,50.0,60.0
32,35.0,69.0,23.0,141.0,151.0
34,65.0,55.0,14.0,117.0,127.0
35,63.0,65.0,8.0,143.0,153.0
36,2.0,60.0,5.0,41.0,51.0
37,20.0,20.0,8.0,134.0,144.0
38,5.0,5.0,16.0,83.0,93.0
39,60.0,12.0,31.0,44.0,54.0
40,40.0,25.0,9.0,85.0,95.0
44,11.0,14.0,18.0,69.0,79.0
46,2.0,48.0,1.0,117.0,127.0
47,8.0,56.0,27.0,51.0,61.0
48,13.0,52.0,36.0,165.0,175.0
50,47.0,47.0,13.0,124.0,134.0
51,49.0,58.0,10.0,88.0,98.0
52,27.0,43.0,9.0,52.0,62.0
53,37.0,31.0,14.0,95.0,105.0
54,57.0,29.0,18.0,140.0,150.0
56,53.0,12.0,6.0,130.0,140.0
62,24.0,58.0,19.0,58.0,68.0
65,62.0,77.0,20.0,51.0,61.0
67,67.0,5.0,25.0,83.0,93.0
69,37.0,47.0,6.0,50.0,60.0
71,57.0,68.0,15.0,77.0,87.0
79,57.0,48.0,23.0,92.0,102.0
81,55.0,54.0,26.0,94.0,104.0
82,15.0,47.0,16.0,55.0,65.0
88,26.0,52.0,9.0,74.0,84.0
93,18.0,24.0,22.0,188.0,198.0
94,26.0,27.0,27.0,100.0,110.0
97,25.0,21.0,12.0,133.0,143.0
98,19.0,21.0,10.0,58.0,68.0
100,18.0,18.0,17.0,185.0,195.0
0,35.0,35.0,0.0,0.0,230.0
