node_id,X,Y,package_weight,e,l
0,35.0,35.0,0.0,0.0,1000.0
3,55.0,45.0,13.0,527.0,584.0
4,55.0,20.0,19.0,678.0,801.0
5,15.0,30.0,26.0,34.0,209.0
6,25.0,30.0,3.0,415.0,514.0
7,20.0,50.0,5.0,331.0,410.0
10,30.0,60.0,16.0,577.0,632.0
11,20.0,65.0,12.0,206.0,325.0
12,50.0,35.0,19.0,228.0,345.0
15,30.0,5.0,8.0,175.0,300.0
17,5.0,30.0,2.0,733.0,870.0
18,20.0,40.0,12.0,377.0,434.0
19,15.0,60.0,17.0,269.0,378.0
24,65.0,35.0,3.0,704.0,847.0
26,45.0,30.0,17.0,588.0,667.0
27,35.0,40.0,16.0,104.0,255.0
29,64.0,42.0,9.0,190.0,313.0
31,31.0,52.0,27.0,152.0,275.0
32,35.0,69.0,23.0,660.0,777.0
35,63.0,65.0,8.0,686.0,813.0
36,2.0,60.0,5.0,41.0,208.0
38,5.0,5.0,16.0,302.0,405.0
40,40.0,25.0,9.0,360.0,437.0
42,24.0,12.0,5.0,25.0,172.0
43,23.0,3.0,7.0,620.0,705.0
44,11.0,14.0,18.0,233.0,340.0
47,8.0,56.0,27.0,85.0,250.0
50,47.0,47.0,13.0,547.0,642.0
51,49.0,58.0,10.0,348.0,453.0
54,57.0,29.0,18.0,641.0,734.0
55,63.0,23.0,2.0,620.0,739.0
57,32.0,12.0,7.0,421.0,530.0
59,21.0,24.0,28.0,17.0,229.0
66,49.0,73.0,25.0,592.0,693.0
67,67.0,5.0,25.0,294.0,401.0
69,37.0,47.0,6.0,162.0,293.0
71,57.0,68.0,15.0,268.0,367.0
72,47.0,16.0,25.0,31.0,208.0
74,46.0,13.0,8.0,681.0,802.0
76,49.0,42.0,13.0,290.0,373.0
78,61.0,52.0,3.0,384.0,499.0
81,55.0,54.0,26.0,411.0,456.0
84,11.0,31.0,7.0,436.0,511.0
87,28.0,18.0,26.0,420.0,447.0
89,26.0,35.0,15.0,755.0,920.0
92,22.0,22.0,2.0,18.0,181.0
93,18.0,24.0,22.0,811.0,969.0
95,25.0,24.0,20.0,92.0,231.0
98,19.0,21.0,10.0,183.0,306.0
99,20.0,26.0,9.0,333.0,432.0
100,18.0,18.0,17.0,798.0,965.0
0,35.0,35.0,0.0,0.0,1000.0
