node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,240.0
1,25.0,85.0,20.0,145.0,175.0
3,22.0,85.0,10.0,109.0,139.0
4,20.0,80.0,40.0,141.0,171.0
6,18.0,75.0,20.0,95.0,125.0
8,15.0,80.0,10.0,91.0,121.0
9,10.0,35.0,20.0,91.0,121.0
12,8.0,45.0,20.0,64.0,94.0
14,5.0,45.0,10.0,35.0,65.0
16,0.0,40.0,20.0,72.0,102.0
18,44.0,5.0,20.0,87.0,117.0
19,42.0,10.0,40.0,72.0,102.0
20,42.0,15.0,10.0,122.0,152.0
22,40.0,15.0,40.0,92.0,122.0
23,38.0,5.0,30.0,65.0,95.0
25,35.0,5.0,20.0,154.0,184.0
28,92.0,30.0,10.0,62.0,92.0
29,90.0,35.0,10.0,67.0,97.0
31,88.0,35.0,20.0,61.0,91.0
32,87.0,30.0,10.0,131.0,161.0
34,85.0,35.0,30.0,111.0,141.0
35,67.0,85.0,20.0,139.0,169.0
36,65.0,85.0,40.0,43.0,73.0
37,65.0,82.0,10.0,124.0,154.0
38,62.0,80.0,30.0,75.0,105.0
39,60.0,80.0,10.0,37.0,67.0
40,60.0,85.0,30.0,85.0,115.0
44,55.0,82.0,10.0,64.0,94.0
46,18.0,80.0,10.0,113.0,143.0
47,2.0,45.0,10.0,45.0,75.0
48,42.0,5.0,10.0,151.0,181.0
50,72.0,35.0,30.0,116.0,146.0
51,55.0,20.0,19.0,83.0,113.0
52,25.0,30.0,3.0,52.0,82.0
53,20.0,50.0,5.0,91.0,121.0
54,55.0,60.0,16.0,139.0,169.0
56,50.0,35.0,19.0,130.0,160.0
62,65.0,35.0,3.0,52.0,82.0
65,35.0,40.0,16.0,11.0,41.0
67,64.0,42.0,9.0,70.0,100.0
69,31.0,52.0,27.0,41.0,71.0
71,65.0,55.0,14.0,65.0,95.0
79,6.0,68.0,30.0,89.0,119.0
81,49.0,58.0,10.0,86.0,116.0
82,27.0,43.0,9.0,42.0,72.0
88,24.0,58.0,19.0,67.0,97.0
93,61.0,52.0,3.0,178.0,208.0
94,57.0,48.0,23.0,95.0,125.0
97,4.0,18.0,35.0,120.0,150.0
98,26.0,52.0,9.0,46.0,76.0
100,31.0,67.0,3.0,180.0,210.0
0,40.0,50.0,0.0,0.0,240.0
