node_id,X,Y,package_weight,e,l
0,20.0,20.0,0.0,0.0,1236.0
1,28.4,36.0,0.1,4.3,6.1
2,32.3,32.2,0.2,4.4,5.8
3,26.2,27.6,0.4,1.6,3.1
4,11.0,19.6,0.1,1.9,3.7
5,17.3,1.5,0.4,0.9,2.1
6,17.7,22.1,0.3,2.5,3.9
7,5.7,8.2,0.2,1.8,3.7
8,5.2,10.8,0.2,3.8,5.8
9,38.1,22.0,0.3,2.0,3.7
10,20.9,15.6,0.4,4.0,5.7
11,23.7,29.3,0.3,0.8,1.9
12,28.7,19.8,0.4,2.7,4.5
13,33.3,29.9,0.1,1.4,2.7
14,25.5,2.7,0.4,1.7,3.6
15,4.1,13.3,0.3,2.2,3.7
16,10.9,1.7,0.5,2.4,3.7
17,24.2,0.2,0.2,3.2,4.7
18,33.9,13.0,0.4,3.7,5.5
19,30.5,1.4,0.2,2.8,4.4
20,16.6,2.0,0.2,1.3,3.0
21,20.0,20.0,0.0,0.0,1236.0
