node_id,X,Y,package_weight,e,l
0,20.0,20.0,0.0,0.0,1236.0
1,16.5,17.9,0.5,0.9,2.7
2,27.0,31.8,0.5,1.2,2.4
3,6.5,8.4,0.3,2.6,3.7
4,38.1,11.6,0.5,2.4,4.1
5,31.5,14.8,0.1,1.7,2.8
6,11.2,34.6,0.3,1.7,3.4
7,26.3,30.2,0.4,2.9,4.3
8,25.4,23.1,0.3,1.4,3.0
9,23.0,4.8,0.3,2.6,3.9
10,5.5,3.6,0.4,1.9,3.8
11,21.3,25.4,0.4,4.2,5.7
12,34.7,7.6,0.2,1.1,2.6
13,1.6,2.5,0.3,2.3,4.1
14,1.8,36.3,0.3,4.1,6.0
15,29.0,22.3,0.3,3.6,4.9
16,19.8,36.5,0.1,3.4,5.1
17,31.5,15.0,0.2,3.5,4.9
18,19.1,34.2,0.4,3.6,4.9
19,6.9,20.5,0.3,0.6,2.3
20,7.5,32.2,0.3,3.1,4.7
21,4.2,36.2,0.4,4.2,5.9
22,24.3,37.9,0.4,2.8,4.7
23,24.9,32.4,0.2,1.2,3.1
24,35.1,27.7,0.4,3.6,4.7
25,30.9,18.6,0.4,2.0,3.9
26,24.7,17.7,0.5,1.9,3.3
27,22.3,26.7,0.3,1.6,3.2
28,16.8,22.4,0.5,1.1,2.7
29,28.2,19.4,0.3,4.3,6.1
30,0.2,31.0,0.3,1.6,3.5
31,9.7,32.9,0.1,2.2,3.5
32,1.3,37.1,0.1,3.8,5.4
33,29.6,20.4,0.3,1.5,2.9
34,23.6,34.0,0.1,1.5,2.6
35,0.8,3.6,0.3,1.5,3.2
36,18.8,30.3,0.3,1.4,2.8
37,20.7,13.1,0.2,1.0,2.7
38,32.0,21.8,0.3,4.2,5.3
39,16.7,37.4,0.2,0.8,1.8
40,23.9,15.8,0.3,3.5,5.5
41,32.0,17.3,0.2,1.6,3.3
42,37.3,37.2,0.3,2.3,4.0
43,6.7,11.9,0.5,2.3,4.1
44,38.0,13.2,0.2,0.6,2.0
45,3.9,32.9,0.3,2.3,4.2
46,22.1,20.3,0.2,3.2,4.5
47,10.1,20.1,0.4,0.9,2.8
48,26.6,20.6,0.4,3.5,5.0
49,20.8,24.4,0.2,4.1,6.1
50,5.4,6.0,0.4,0.6,2.3
51,20.0,20.0,0.0,0.0,1236.0
