node_id,X,Y,package_weight,e,l
0,20.0,20.0,0.0,0.0,1236.0
1,35.1,14.0,0.4,4.3,5.6
2,13.4,6.6,0.2,3.5,4.6
3,14.1,6.8,0.3,2.0,3.5
4,36.8,9.1,0.5,2.9,4.9
5,21.0,10.0,0.5,4.5,6.1
6,32.9,30.6,0.5,4.4,6.4
7,15.7,21.3,0.3,3.5,5.1
8,20.6,23.6,0.5,3.7,5.6
9,5.0,16.8,0.2,1.6,2.7
10,19.2,31.3,0.4,4.4,6.0
11,7.7,2.3,0.4,1.8,3.5
12,23.4,34.1,0.4,0.8,2.4
13,39.1,10.7,0.2,4.2,5.6
14,31.8,36.8,0.3,1.2,3.1
15,9.8,1.7,0.5,1.4,2.5
16,28.0,39.9,0.2,3.0,4.3
17,19.5,27.3,0.4,2.6,4.1
18,6.6,27.7,0.4,2.8,3.8
19,34.0,34.2,0.4,3.2,4.5
20,7.6,25.7,0.2,3.7,4.9
21,20.0,20.0,0.0,0.0,1236.0
